Comunidades y ciudades autónomas de residencia,Sexo,Medio empleado,Total
Castilla-La Mancha,Hombres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
Castilla-La Mancha,Hombres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Castilla-La Mancha,Hombres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
Castilla-La Mancha,Hombres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Castilla-La Mancha,Hombres,X78. Lesión autoinfligida intencionalmente por objeto cortante,3.0
Castilla-La Mancha,Hombres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Castilla-La Mancha,Hombres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,17.0
Castilla-La Mancha,Hombres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,5.0
Castilla-La Mancha,Hombres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,1.0
Castilla-La Mancha,Hombres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,1.0
Castilla-La Mancha,Hombres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
Castilla-La Mancha,Mujeres,Total,37.0
Castilla-La Mancha,Mujeres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",1.0
Castilla-La Mancha,Mujeres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",3.0
Castilla-La Mancha,Mujeres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
Castilla-La Mancha,Mujeres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Castilla-La Mancha,Mujeres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",4.0
Castilla-La Mancha,Mujeres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,1.0
Castilla-La Mancha,Mujeres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Castilla-La Mancha,Mujeres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,0.0
Castilla-La Mancha,Mujeres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Castilla-La Mancha,Mujeres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",0.0
Castilla-La Mancha,Mujeres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",17.0
Castilla-La Mancha,Mujeres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,1.0
Castilla-La Mancha,Mujeres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,1.0
Castilla-La Mancha,Mujeres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",0.0
Castilla-La Mancha,Mujeres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
Castilla-La Mancha,Mujeres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Castilla-La Mancha,Mujeres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
Castilla-La Mancha,Mujeres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Castilla-La Mancha,Mujeres,X78. Lesión autoinfligida intencionalmente por objeto cortante,0.0
Castilla-La Mancha,Mujeres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Castilla-La Mancha,Mujeres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,8.0
Castilla-La Mancha,Mujeres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,0.0
Castilla-La Mancha,Mujeres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,1.0
Castilla-La Mancha,Mujeres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Castilla-La Mancha,Mujeres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
Cataluña,Ambos sexos,Total,614.0
Cataluña,Ambos sexos,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",6.0
Cataluña,Ambos sexos,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",52.0
Cataluña,Ambos sexos,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",6.0
Cataluña,Ambos sexos,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,2.0
Cataluña,Ambos sexos,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",7.0
Cataluña,Ambos sexos,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,2.0
Cataluña,Ambos sexos,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Cataluña,Ambos sexos,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,9.0
Cataluña,Ambos sexos,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Cataluña,Ambos sexos,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",11.0
Cataluña,Ambos sexos,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",261.0
Cataluña,Ambos sexos,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,11.0
Cataluña,Ambos sexos,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,9.0
Cataluña,Ambos sexos,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",7.0
Cataluña,Ambos sexos,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
Cataluña,Ambos sexos,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Cataluña,Ambos sexos,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
Cataluña,Ambos sexos,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",1.0
Cataluña,Ambos sexos,X78. Lesión autoinfligida intencionalmente por objeto cortante,17.0
Cataluña,Ambos sexos,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Cataluña,Ambos sexos,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,168.0
Cataluña,Ambos sexos,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,40.0
Cataluña,Ambos sexos,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
Cataluña,Ambos sexos,X83. Lesión autoinfligida intencionalmente por otros medios especificados,2.0
Cataluña,Ambos sexos,X84. Lesión autoinfligida intencionalmente por medios no especificados,3.0
Cataluña,Hombres,Total,440.0
Cataluña,Hombres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",1.0
Cataluña,Hombres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",25.0
Cataluña,Hombres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",4.0
Cataluña,Hombres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,1.0
Cataluña,Hombres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",5.0
Cataluña,Hombres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Cataluña,Hombres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Cataluña,Hombres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,8.0
Cataluña,Hombres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Cataluña,Hombres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",7.0
Cataluña,Hombres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",216.0
Cataluña,Hombres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,5.0
Cataluña,Hombres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,8.0
Cataluña,Hombres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",6.0
Cataluña,Hombres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
Cataluña,Hombres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Cataluña,Hombres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
Cataluña,Hombres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",1.0
Cataluña,Hombres,X78. Lesión autoinfligida intencionalmente por objeto cortante,14.0
Cataluña,Hombres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Cataluña,Hombres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,103.0
Cataluña,Hombres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,32.0
Cataluña,Hombres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
Cataluña,Hombres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,2.0
Cataluña,Hombres,X84. Lesión autoinfligida intencionalmente por medios no especificados,2.0
Cataluña,Mujeres,Total,174.0
Cataluña,Mujeres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",5.0
Cataluña,Mujeres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",27.0
Cataluña,Mujeres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",2.0
Cataluña,Mujeres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,1.0
Cataluña,Mujeres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",2.0
Cataluña,Mujeres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,2.0
Cataluña,Mujeres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Cataluña,Mujeres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,1.0
Cataluña,Mujeres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Cataluña,Mujeres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",4.0
Cataluña,Mujeres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",45.0
Cataluña,Mujeres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,6.0
Cataluña,Mujeres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,1.0
Cataluña,Mujeres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",1.0
Cataluña,Mujeres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
Cataluña,Mujeres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Cataluña,Mujeres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
Cataluña,Mujeres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Cataluña,Mujeres,X78. Lesión autoinfligida intencionalmente por objeto cortante,3.0
Cataluña,Mujeres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Cataluña,Mujeres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,65.0
Cataluña,Mujeres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,8.0
Cataluña,Mujeres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
Cataluña,Mujeres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Cataluña,Mujeres,X84. Lesión autoinfligida intencionalmente por medios no especificados,1.0
Comunitat Valenciana,Ambos sexos,Total,445.0
Comunitat Valenciana,Ambos sexos,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",2.0
Comunitat Valenciana,Ambos sexos,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",25.0
Comunitat Valenciana,Ambos sexos,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
Comunitat Valenciana,Ambos sexos,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,3.0
Comunitat Valenciana,Ambos sexos,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",12.0
Comunitat Valenciana,Ambos sexos,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,2.0
Comunitat Valenciana,Ambos sexos,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,1.0
